Period,Org Code,Parent Org,Org name,A&E attendances Type 1,A&E attendances Type 2,A&E attendances Other A&E Department,A&E attendances Booked Appointments Type 1,A&E attendances Booked Appointments Type 2,A&E attendances Booked Appointments Other Department,Attendances over 4hrs Type 1,Attendances over 4hrs Type 2,Attendances over 4hrs Other Department,Attendances over 4hrs Booked Appointments Type 1,Attendances over 4hrs Booked Appointments Type 2,Attendances over 4hrs Booked Appointments Other Department,Patients who have waited 4-12 hs from DTA to admission,Patients who have waited 12+ hrs from DTA to admission,Emergency admissions via A&E - Type 1,Emergency admissions via A&E - Type 2,Emergency admissions via A&E - Other A&E department,Other emergency admissions
MSitAE-MARCH-2025,RYR,NHS ENGLAND SOUTH EAST ,UNIVERSITY HOSPITALS SUSSEX NHS FOUNDATION TRUST,26658,1483,2059,1774,0,645,10030,39,231,476,0,4,817,912,8684,23,89,1565
MSitAE-MARCH-2025,AD913,NHS ENGLAND LONDON,BECKENHAM BEACON UCC,0,0,3752,0,0,337,0,0,11,0,0,0,0,0,0,0,0,0
MSitAE-MARCH-2025,ARN03,NHS ENGLAND NORTH EAST AND YORKSHIRE ,LOCAL CARE DIRECT,0,0,2260,0,0,192,0,0,9,0,0,0,0,0,0,0,0,0
MSitAE-MARCH-2025,NNF09,NHS ENGLAND NORTH EAST AND YORKSHIRE ,BRANSHOLME HEALTH CENTRE,0,0,3661,0,0,0,0,0,575,0,0,0,0,0,0,0,0,0
MSitAE-MARCH-2025,NNF16,NHS ENGLAND NORTH EAST AND YORKSHIRE ,BRIDLINGTON HOSPITAL,0,0,1464,0,0,0,0,0,63,0,0,0,0,0,0,0,0,0
MSitAE-MARCH-2025,NNF94,NHS ENGLAND NORTH EAST AND YORKSHIRE ,EAST RIDING COMMUNITY HOSPITAL,0,0,2943,0,0,0,0,0,287,0,0,0,0,0,0,0,0,0
MSitAE-MARCH-2025,NNFA7,NHS ENGLAND NORTH EAST AND YORKSHIRE ,GOOLE & DISTRICT HOSPITAL,0,0,1680,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0
MSitAE-MARCH-2025,NNJ07,NHS ENGLAND MIDLANDS ,LOUGHBOROUGH URGENT CARE CENTRE,0,0,5526,0,0,2646,0,0,24,0,0,4,0,0,0,0,0,0
MSitAE-MARCH-2025,NNJ0H,NHS ENGLAND MIDLANDS ,LLR EA - THE MERLYN VAZ HEALTH & SOCIAL CARE CENTRE,0,0,204,0,0,2208,0,0,0,0,0,0,0,0,0,0,0,0
MSitAE-MARCH-2025,NNJ12,NHS ENGLAND MIDLANDS ,MARKET HARBOROUGH,0,0,112,0,0,469,0,0,0,0,0,0,0,0,0,0,0,0
MSitAE-MARCH-2025,NNJ13,NHS ENGLAND MIDLANDS ,MELTON MOWBRAY,0,0,53,0,0,398,0,0,0,0,0,0,0,0,0,0,0,0
MSitAE-MARCH-2025,NNJ14,NHS ENGLAND MIDLANDS ,OADBY,0,0,512,0,0,3338,0,0,0,0,0,0,0,0,0,0,0,0
MSitAE-MARCH-2025,NNJ15,NHS ENGLAND MIDLANDS ,OAKHAM,0,0,52,0,0,354,0,0,0,0,0,0,0,0,0,0,0,0
MSitAE-MARCH-2025,NNJ,NHS ENGLAND MIDLANDS ,DHU HEALTH CARE C.I.C,0,0,2055,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MSitAE-MARCH-2025,R0A,NHS ENGLAND NORTH WEST ,MANCHESTER UNIVERSITY NHS FOUNDATION TRUST,25292,3094,11779,3692,448,1059,9920,129,496,1196,25,69,2871,101,5886,148,165,429
MSitAE-MARCH-2025,R0D,NHS ENGLAND SOUTH WEST ,UNIVERSITY HOSPITALS DORSET NHS FOUNDATION TRUST,13702,0,5527,0,0,0,5364,0,0,0,0,0,1086,288,4209,4,0,2508
MSitAE-MARCH-2025,RA2,NHS ENGLAND SOUTH EAST ,ROYAL SURREY COUNTY HOSPITAL NHS FOUNDATION TRUST,6924,0,1650,856,0,12,2088,0,1,192,0,0,267,2,2583,0,0,1108
MSitAE-MARCH-2025,RAJ,NHS ENGLAND EAST OF ENGLAND ,MID AND SOUTH ESSEX NHS FOUNDATION TRUST,31792,0,3961,13,0,5,11578,0,311,4,0,0,2555,627,8531,0,174,1285
MSitAE-MARCH-2025,RBD,NHS ENGLAND SOUTH WEST ,DORSET COUNTY HOSPITAL NHS FOUNDATION TRUST,4111,0,0,403,0,4529,1328,0,0,79,0,9,182,66,1881,0,0,610
MSitAE-MARCH-2025,RBK,NHS ENGLAND MIDLANDS ,WALSALL HEALTHCARE NHS TRUST,9286,0,4564,53,0,147,3339,0,114,17,0,0,957,312,3856,0,0,817
MSitAE-MARCH-2025,RCU,NHS ENGLAND NORTH EAST AND YORKSHIRE ,SHEFFIELD CHILDREN'S NHS FOUNDATION TRUST,4859,0,425,322,0,24,499,0,0,32,0,0,7,0,1106,0,0,75
MSitAE-MARCH-2025,RET,NHS ENGLAND NORTH WEST ,THE WALTON CENTRE NHS FOUNDATION TRUST,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,182
MSitAE-MARCH-2025,RH5,NHS ENGLAND SOUTH WEST ,SOMERSET NHS FOUNDATION TRUST,13097,0,9956,0,0,0,6180,0,229,0,0,0,422,86,3118,0,0,1840
MSitAE-MARCH-2025,RHQ,NHS ENGLAND NORTH EAST AND YORKSHIRE ,SHEFFIELD TEACHING HOSPITALS NHS FOUNDATION TRUST,9031,1210,7023,423,0,1322,4657,0,247,190,0,19,1002,5,3814,0,0,3186
MSitAE-MARCH-2025,RJC,NHS ENGLAND MIDLANDS ,SOUTH WARWICKSHIRE UNIVERSITY NHS FOUNDATION TRUST,8483,0,378,0,0,0,2732,0,0,0,0,0,474,47,2303,0,0,877
MSitAE-MARCH-2025,RJL,NHS ENGLAND NORTH EAST AND YORKSHIRE ,NORTHERN LINCOLNSHIRE AND GOOLE NHS FOUNDATION TRUST,9197,0,7423,0,0,355,4766,0,66,0,0,4,676,653,5717,0,0,498
MSitAE-MARCH-2025,RKE,NHS ENGLAND LONDON,WHITTINGTON HEALTH NHS TRUST,9282,0,0,0,0,0,2600,0,0,0,0,0,268,71,1364,0,0,39
MSitAE-MARCH-2025,RN3,NHS ENGLAND SOUTH WEST ,GREAT WESTERN HOSPITALS NHS FOUNDATION TRUST,5662,0,5652,0,0,0,2928,0,458,0,0,0,547,323,2450,0,0,1391
MSitAE-MARCH-2025,RNA,NHS ENGLAND MIDLANDS ,THE DUDLEY GROUP NHS FOUNDATION TRUST,10115,0,4514,0,0,708,2893,0,99,0,0,0,1960,112,3716,0,0,2467
MSitAE-MARCH-2025,RNN,NHS ENGLAND NORTH EAST AND YORKSHIRE ,NORTH CUMBRIA INTEGRATED CARE NHS FOUNDATION TRUST,8917,0,1932,320,0,25,3886,0,25,81,0,0,589,482,2440,0,0,735
MSitAE-MARCH-2025,RNQ,NHS ENGLAND MIDLANDS ,KETTERING GENERAL HOSPITAL NHS FOUNDATION TRUST,10262,0,8943,342,0,0,3696,0,174,0,0,0,413,891,1799,0,0,294
MSitAE-MARCH-2025,RNS,NHS ENGLAND MIDLANDS ,NORTHAMPTON GENERAL HOSPITAL NHS TRUST,9114,526,2305,1356,1,298,3851,15,235,521,0,33,662,674,2348,0,0,891
MSitAE-MARCH-2025,RNZ,NHS ENGLAND SOUTH WEST ,SALISBURY NHS FOUNDATION TRUST,4750,312,1873,155,0,0,2002,0,0,55,0,0,467,43,1242,0,0,1090
MSitAE-MARCH-2025,RQ3,NHS ENGLAND MIDLANDS ,BIRMINGHAM WOMEN'S AND CHILDREN'S NHS FOUNDATION TRUST,5330,0,0,0,0,0,656,0,0,0,0,0,0,7,1091,0,0,151
MSitAE-MARCH-2025,RR8,NHS ENGLAND NORTH EAST AND YORKSHIRE ,LEEDS TEACHING HOSPITALS NHS TRUST,18011,741,12762,12,0,60,6490,0,51,4,0,0,1716,299,3721,0,0,1180
MSitAE-MARCH-2025,RRK,NHS ENGLAND MIDLANDS ,UNIVERSITY HOSPITALS BIRMINGHAM NHS FOUNDATION TRUST,34819,357,1914,0,0,212,13817,0,70,0,0,4,2859,1690,10425,0,0,7034
MSitAE-MARCH-2025,RTF,NHS ENGLAND NORTH EAST AND YORKSHIRE ,NORTHUMBRIA HEALTHCARE NHS FOUNDATION TRUST,10277,0,13291,0,0,0,2532,0,6,0,0,0,35,0,4278,0,18,473
MSitAE-MARCH-2025,RTH,NHS ENGLAND SOUTH EAST ,OXFORD UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,12850,1830,2085,1708,0,114,5248,0,7,607,0,3,768,3,4670,109,10,4539
MSitAE-MARCH-2025,RTX,NHS ENGLAND NORTH WEST ,UNIVERSITY HOSPITALS OF MORECAMBE BAY NHS FOUNDATION TRUST,9464,0,2828,156,0,1709,3798,0,81,14,0,47,735,544,3127,0,28,1062
MSitAE-MARCH-2025,RVW,NHS ENGLAND NORTH EAST AND YORKSHIRE ,NORTH TEES AND HARTLEPOOL NHS FOUNDATION TRUST,5014,0,11944,0,0,0,2394,0,47,0,0,0,164,8,1715,0,566,2543
MSitAE-MARCH-2025,RWH,NHS ENGLAND EAST OF ENGLAND ,EAST AND NORTH HERTFORDSHIRE NHS TRUST,9225,0,8769,0,0,0,4607,0,109,0,0,0,237,170,2849,0,3,228
MSitAE-MARCH-2025,RXK,NHS ENGLAND MIDLANDS ,SANDWELL AND WEST BIRMINGHAM HOSPITALS NHS TRUST,11411,1150,8616,496,0,0,4749,133,328,206,0,0,819,231,2710,0,0,543
MSitAE-MARCH-2025,RXP,NHS ENGLAND NORTH EAST AND YORKSHIRE ,COUNTY DURHAM AND DARLINGTON NHS FOUNDATION TRUST,13515,0,4188,0,0,8045,5213,0,0,0,0,0,1831,13,4479,0,0,783
MSitAE-MARCH-2025,RXW,NHS ENGLAND MIDLANDS ,THE SHREWSBURY AND TELFORD HOSPITAL NHS TRUST,11111,0,2873,0,0,0,6350,0,295,0,0,0,440,1390,3147,0,220,2165
MSitAE-MARCH-2025,RYG,NHS ENGLAND MIDLANDS ,COVENTRY AND WARWICKSHIRE PARTNERSHIP NHS TRUST,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,71
MSitAE-MARCH-2025,A5D4Q,NHS ENGLAND MIDLANDS ,NEMS UTC,0,0,3681,0,0,0,0,0,1464,0,0,0,0,0,0,0,0,0
MSitAE-MARCH-2025,R1D,NHS ENGLAND MIDLANDS ,SHROPSHIRE COMMUNITY HEALTH NHS TRUST,0,0,3251,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0
MSitAE-MARCH-2025,R1K,NHS ENGLAND LONDON,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,14125,0,15651,0,0,0,6324,0,194,0,0,0,634,367,6751,0,0,336
MSitAE-MARCH-2025,RAE,NHS ENGLAND NORTH EAST AND YORKSHIRE ,BRADFORD TEACHING HOSPITALS NHS FOUNDATION TRUST,9248,1045,3252,0,0,0,2305,0,3,0,0,0,687,97,2612,0,35,1429
MSitAE-MARCH-2025,RAL,NHS ENGLAND LONDON,ROYAL FREE LONDON NHS FOUNDATION TRUST,25381,537,16637,186,4,231,9755,6,942,97,0,30,1202,1838,4698,0,51,779
MSitAE-MARCH-2025,RBV,NHS ENGLAND NORTH WEST ,THE CHRISTIE NHS FOUNDATION TRUST,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,821
MSitAE-MARCH-2025,RC9,NHS ENGLAND EAST OF ENGLAND ,BEDFORDSHIRE HOSPITALS NHS FOUNDATION TRUST,17026,0,8548,0,0,1051,7473,0,0,0,0,0,0,9,4678,0,0,2325
MSitAE-MARCH-2025,RCB,NHS ENGLAND NORTH EAST AND YORKSHIRE ,YORK AND SCARBOROUGH TEACHING HOSPITALS NHS FOUNDATION TRUST,10854,333,7214,0,0,0,6123,0,302,0,0,0,816,539,4796,0,0,1599
MSitAE-MARCH-2025,REM,NHS ENGLAND NORTH WEST ,LIVERPOOL UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,15869,1842,8129,407,0,0,8008,120,335,60,0,0,1975,982,4562,0,0,2461
MSitAE-MARCH-2025,RFS,NHS ENGLAND MIDLANDS ,CHESTERFIELD ROYAL HOSPITAL NHS FOUNDATION TRUST,6919,0,6764,503,0,149,3582,0,403,179,0,20,823,167,2725,0,289,696
MSitAE-MARCH-2025,RGN,NHS ENGLAND EAST OF ENGLAND ,NORTH WEST ANGLIA NHS FOUNDATION TRUST,14928,0,4678,360,0,463,6416,0,197,96,0,14,482,889,3714,0,32,1592
MSitAE-MARCH-2025,RGT,NHS ENGLAND EAST OF ENGLAND ,CAMBRIDGE UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,10973,0,6235,309,0,300,4869,0,123,88,0,12,613,417,2764,0,35,436
MSitAE-MARCH-2025,RHM,NHS ENGLAND SOUTH EAST ,UNIVERSITY HOSPITAL SOUTHAMPTON NHS FOUNDATION TRUST,11829,1243,0,138,0,0,5075,144,0,46,0,0,628,10,3886,9,0,1645
MSitAE-MARCH-2025,RHW,NHS ENGLAND SOUTH EAST ,ROYAL BERKSHIRE NHS FOUNDATION TRUST,12163,2341,2157,1038,26,0,4873,21,0,342,0,0,730,33,2255,2,0,423
MSitAE-MARCH-2025,RJ2,NHS ENGLAND LONDON,LEWISHAM AND GREENWICH NHS TRUST,15526,0,10605,0,0,0,8134,0,817,0,0,0,1318,854,5027,0,0,1262
MSitAE-MARCH-2025,RJ7,NHS ENGLAND LONDON,ST GEORGE'S UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,9283,0,3515,558,0,0,2117,0,0,68,0,0,401,780,2738,0,0,793
MSitAE-MARCH-2025,RJN,NHS ENGLAND NORTH WEST ,EAST CHESHIRE NHS TRUST,4450,0,0,74,0,60,2223,0,0,0,0,0,132,470,754,0,0,205
MSitAE-MARCH-2025,RK5,NHS ENGLAND MIDLANDS ,SHERWOOD FOREST HOSPITALS NHS FOUNDATION TRUST,11381,0,6091,396,0,169,3800,0,538,138,0,2,479,63,3904,0,2,303
MSitAE-MARCH-2025,RK9,NHS ENGLAND SOUTH WEST ,UNIVERSITY HOSPITALS PLYMOUTH NHS TRUST,9353,130,5705,0,0,0,5004,0,193,0,0,0,411,735,2827,0,0,1502
MSitAE-MARCH-2025,RLT,NHS ENGLAND MIDLANDS ,GEORGE ELIOT HOSPITAL NHS TRUST,7182,0,1690,0,0,0,2920,0,65,0,0,0,453,338,1093,0,0,1
MSitAE-MARCH-2025,RM1,NHS ENGLAND EAST OF ENGLAND ,NORFOLK AND NORWICH UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,12804,0,8381,0,0,0,3867,0,0,0,0,0,914,255,2482,0,0,1599
MSitAE-MARCH-2025,RM3,NHS ENGLAND NORTH WEST ,NORTHERN CARE ALLIANCE NHS FOUNDATION TRUST,25828,0,8886,0,0,0,10445,0,401,0,0,0,1061,1306,7203,0,298,2067
MSitAE-MARCH-2025,RN5,NHS ENGLAND SOUTH EAST ,HAMPSHIRE HOSPITALS NHS FOUNDATION TRUST,11387,73,3523,0,0,107,4962,0,150,0,0,0,299,52,4215,9,36,1388
MSitAE-MARCH-2025,RN7,NHS ENGLAND SOUTH EAST ,DARTFORD AND GRAVESHAM NHS TRUST,11705,0,4168,0,0,0,3694,0,17,0,0,0,546,407,3244,0,0,458
MSitAE-MARCH-2025,RP5,NHS ENGLAND NORTH EAST AND YORKSHIRE ,DONCASTER AND BASSETLAW TEACHING HOSPITALS NHS FOUNDATION TRUST,14073,0,4384,0,0,0,4642,0,21,0,0,0,965,118,3831,0,429,1055
MSitAE-MARCH-2025,RQM,NHS ENGLAND LONDON,CHELSEA AND WESTMINSTER HOSPITAL NHS FOUNDATION TRUST,20043,0,6486,626,0,0,5353,0,102,0,0,0,933,55,2869,0,0,307
MSitAE-MARCH-2025,RTD,NHS ENGLAND NORTH EAST AND YORKSHIRE ,THE NEWCASTLE UPON TYNE HOSPITALS NHS FOUNDATION TRUST,12877,1781,5416,0,0,1188,4559,215,1,0,0,0,525,37,3769,22,0,2861
MSitAE-MARCH-2025,RTE,NHS ENGLAND SOUTH WEST ,GLOUCESTERSHIRE HOSPITALS NHS FOUNDATION TRUST,13604,0,0,165,0,0,5355,0,0,51,0,0,377,459,2713,0,0,2398
MSitAE-MARCH-2025,RTQ,NHS ENGLAND SOUTH WEST ,GLOUCESTERSHIRE HEALTH AND CARE NHS FOUNDATION TRUST,0,0,8527,0,0,0,0,0,126,0,0,0,0,0,0,0,0,32
MSitAE-MARCH-2025,RVJ,NHS ENGLAND SOUTH WEST ,NORTH BRISTOL NHS TRUST,9208,0,0,7,0,0,3568,0,0,0,0,0,538,407,2661,0,0,2225
MSitAE-MARCH-2025,RWA,NHS ENGLAND NORTH EAST AND YORKSHIRE ,HULL UNIVERSITY TEACHING HOSPITALS NHS TRUST,9198,0,5279,0,0,0,5401,0,606,0,0,0,1010,536,3486,0,0,2346
MSitAE-MARCH-2025,RWD,NHS ENGLAND MIDLANDS ,UNITED LINCOLNSHIRE TEACHING HOSPITALS NHS TRUST,16558,0,3931,0,0,0,5812,0,417,0,0,0,1074,573,4894,0,0,1137
MSitAE-MARCH-2025,RXC,NHS ENGLAND SOUTH EAST ,EAST SUSSEX HEALTHCARE NHS TRUST,8795,0,2736,1486,0,1857,4198,0,100,0,0,0,188,92,3004,0,0,501
MSitAE-MARCH-2025,RXF,NHS ENGLAND NORTH EAST AND YORKSHIRE ,MID YORKSHIRE TEACHING NHS TRUST,17104,154,6184,124,0,84,6472,0,508,3,0,2,2036,277,3671,0,179,909
MSitAE-MARCH-2025,RXN,NHS ENGLAND NORTH WEST ,LANCASHIRE TEACHING HOSPITALS NHS FOUNDATION TRUST,12058,0,3351,279,0,90,4668,0,164,47,0,1,1015,418,2420,0,92,1119
MSitAE-MARCH-2025,RYJ,NHS ENGLAND LONDON,IMPERIAL COLLEGE HEALTHCARE NHS TRUST,12089,3928,7269,0,0,437,5333,45,349,0,0,0,650,387,3707,1,0,1110
MSitAE-MARCH-2025,RYX,NHS ENGLAND LONDON,CENTRAL LONDON COMMUNITY HEALTHCARE NHS TRUST,0,0,12768,0,0,581,0,0,404,0,0,12,0,0,0,0,0,0
MSitAE-MARCH-2025,R1F,NHS ENGLAND SOUTH EAST ,ISLE OF WIGHT NHS TRUST,4266,329,1425,24,0,13,1979,0,0,4,0,0,302,186,1287,0,0,88
MSitAE-MARCH-2025,R1H,NHS ENGLAND LONDON,BARTS HEALTH NHS TRUST,25830,973,18069,0,0,0,11735,53,1279,0,0,0,1242,990,4556,0,46,1117
MSitAE-MARCH-2025,RBL,NHS ENGLAND NORTH WEST ,WIRRAL UNIVERSITY TEACHING HOSPITAL NHS FOUNDATION TRUST,7845,0,3322,0,0,188,4141,0,149,0,0,9,412,893,2155,0,0,1605
MSitAE-MARCH-2025,RBN,NHS ENGLAND NORTH WEST ,MERSEY AND WEST LANCASHIRE TEACHING HOSPITALS NHS TRUST,17832,0,7558,478,0,0,6436,0,147,70,0,0,652,363,8282,0,0,679
MSitAE-MARCH-2025,RBS,NHS ENGLAND NORTH WEST ,ALDER HEY CHILDREN'S NHS FOUNDATION TRUST,6446,0,0,0,0,0,1301,0,0,0,0,0,4,0,831,0,0,297
MSitAE-MARCH-2025,RD1,NHS ENGLAND SOUTH WEST ,ROYAL UNITED HOSPITALS BATH NHS FOUNDATION TRUST,8762,0,0,0,0,0,3632,0,0,0,0,0,829,163,2580,0,3,1844
MSitAE-MARCH-2025,RDR,NHS ENGLAND SOUTH EAST ,SUSSEX COMMUNITY NHS FOUNDATION TRUST,0,0,12570,0,0,0,0,0,121,0,0,0,0,0,0,0,0,0
MSitAE-MARCH-2025,RF4,NHS ENGLAND LONDON,"BARKING, HAVERING AND REDBRIDGE UNIVERSITY HOSPITALS NHS TRUST",13687,2482,15017,0,0,0,6204,385,151,0,0,0,695,928,8016,0,0,415
MSitAE-MARCH-2025,RH8,NHS ENGLAND SOUTH WEST ,ROYAL DEVON UNIVERSITY HEALTHCARE NHS FOUNDATION TRUST,12632,0,4261,1327,0,72,5510,0,23,540,0,2,1473,215,3437,0,0,1943
MSitAE-MARCH-2025,RHU,NHS ENGLAND SOUTH EAST ,PORTSMOUTH HOSPITALS UNIVERSITY NATIONAL HEALTH SERVICE TRUST,11155,838,3281,1309,0,816,4645,13,71,485,0,10,1316,348,3172,0,0,2611
MSitAE-MARCH-2025,RPA,NHS ENGLAND SOUTH EAST ,MEDWAY NHS FOUNDATION TRUST,9157,0,6942,262,0,1214,3152,0,747,68,0,0,351,688,1903,0,0,493
MSitAE-MARCH-2025,RRF,NHS ENGLAND NORTH WEST ,"WRIGHTINGTON, WIGAN AND LEIGH NHS FOUNDATION TRUST",6924,0,5866,0,0,0,3509,0,109,0,0,0,1146,475,2391,0,0,661
MSitAE-MARCH-2025,RVR,NHS ENGLAND LONDON,EPSOM AND ST HELIER UNIVERSITY HOSPITALS NHS TRUST,11405,328,1497,455,0,33,3371,0,108,69,0,1,253,706,1911,3,0,188
MSitAE-MARCH-2025,RWJ,NHS ENGLAND NORTH WEST ,STOCKPORT NHS FOUNDATION TRUST,8213,0,1240,314,0,1334,3239,0,81,119,0,4,801,292,2843,0,82,956
MSitAE-MARCH-2025,RWX,NHS ENGLAND SOUTH EAST ,BERKSHIRE HEALTHCARE NHS FOUNDATION TRUST,0,0,1479,0,0,0,0,0,8,0,0,0,0,0,0,0,19,0
MSitAE-MARCH-2025,RAS,NHS ENGLAND LONDON,THE HILLINGDON HOSPITALS NHS FOUNDATION TRUST,6236,0,6892,0,0,0,3123,0,56,0,0,0,766,69,1883,0,0,57
MSitAE-MARCH-2025,RJ1,NHS ENGLAND LONDON,GUY'S AND ST THOMAS' NHS FOUNDATION TRUST,10247,727,7130,0,0,0,3568,12,199,0,0,0,119,71,2054,0,0,220
TOTAL,TOTAL,TOTAL,TOTAL,1418235,50646,830779,32451,591,56362,558656,2283,27899,8339,25,546,87191,46766,404354,1366,4569,140840
